rank,name3,count,length
702,harper,68,6
703,stephens,68,8
704,mountain view,68,13
705,carlton,68,7
706,rosemary,68,8
707,gould,68,5
708,agnes,68,5
709,linden,68,6
710,dwyer,68,5
711,cullen,68,6
712,ninth,68,5
713,riley,67,5
714,jade,67,4
715,haig,67,4
716,vale,67,4
717,bristol,67,7
718,phoenix,67,7
719,waverley,67,8
720,clarendon,67,9
721,hazel,67,5
722,philip,66,6
723,buckley,66,7
724,callistemon,66,11
725,egret,66,5
726,dowling,66,7
727,marina,66,6
728,lavender,66,8
729,perkins,66,7
730,shelley,66,7
731,alison,66,6
732,dorothy,66,7
733,inverness,66,9
734,menzies,66,7
735,davey,66,5
736,loftus,66,6
737,carroll,66,7
738,macarthur,66,9
739,valley view,66,11
740,albany,65,6
741,hawthorn,65,8
742,blake,65,5
743,airport,65,7
744,kathleen,65,8
745,paradise,65,8
746,box,65,3
747,kemp,65,4
748,broughton,65,9
749,carr,65,4
750,eighth,65,6
751,carinya,65,7
752,buckingham,65,10
753,hood,65,4
754,judith,65,6
755,mcgregor,65,8
756,mayfield,65,8
757,ernest,65,6
758,watts,65,5
759,goulburn,65,8
760,dorset,64,6
761,bates,64,5
762,claremont,64,9
763,yarra,64,5
764,quinn,64,5
765,erica,64,5
766,dickson,64,7
767,arcadia,64,7
768,jean,63,4
769,cornwall,63,8
770,casey,63,5
771,cowper,63,6
772,golden,63,6
773,shepherd,63,8
774,cockatoo,63,8
775,livingstone,63,11
776,beverley,63,8
777,kimberley,63,9
778,benjamin,63,8
779,lowe,63,4
780,jennifer,63,8
781,o'brien,63,7
782,conway,63,6
783,elder,63,5
784,pamela,63,6
785,rainbow,63,7
786,paperbark,63,9
787,ashley,62,6
788,oakwood,62,7
789,apollo,62,6
790,mayfair,62,7
791,griffin,62,7
792,haven,62,5
793,wallaby,62,7
794,azalea,62,6
795,glencoe,62,7
796,rowan,62,5
797,higgins,62,7
798,hyde,62,4
799,eton,62,4
800,holly,62,5
801,sullivan,62,8
802,tenth,62,5
803,road,62,4
804,christie,62,8
805,lord,62,4
